"genusName","feeding","basal","enrichment","structure","cp","GenavgMass","GenavgCPr","GenavgCRs","GenavgMFP","GenavgEFP","GenavgSFP","GenavgHFP","GenavgFFP","GenavgBFP","GenavgPFP","StderrMass","StderrCPr","StderrCRs","StderrMFP","StderrEFP","StderrSFP","StderrHFP","StderrFFP","StderrBFP","StderrPFP"
"Aporcella","8","0.0","0.0","5.0","5","6.5463","0.1309","1.0308","1.1617","0.0","1.1617","0.0","0.0","0.0","1.1617","1.193","0.0239","0.1273","0.151","0.0","0.151","0.0","0.0","0.0","0.151"
"Apratylenchoides","1","0.0","0.0","0.0","3","0.1389","0.0046","0.0619","0.0665","0.0","0.0","0.0665","0.0","0.0","0.0","0.0204","7.0E-4","0.0067","0.0074","0.0","0.0","0.0074","0.0","0.0","0.0"
"Apratylenchus","1","0.0","0.0","0.0","3","0.1123","0.0037","0.0525","0.0562","0.0","0.0","0.0562","0.0","0.0","0.0","0.0344","0.0011","0.0122","0.0134","0.0","0.0","0.0134","0.0","0.0","0.0"
"Aprutides","2","0.8","0.8","0.0","2","0.0582","0.0029","0.0324","0.0353","0.0353","0.0","0.0","0.0353","0.0","0.0","8.0E-4","0.0","3.0E-4","4.0E-4","4.0E-4","0.0","0.0","4.0E-4","0.0","0.0"
"Aquatides","5","0.0","0.0","5.0","5","5.2543","0.1051","0.9252","1.0303","0.0","1.0303","0.0","0.0","0.0","1.0303","2.5501","0.051","0.3495","0.4005","0.0","0.4005","0.0","0.0","0.0","0.4005"
"Araguanema","0","0.0","0.0","0.0","0","11.4456","0.0","1.6988","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0068","0.0","8.0E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Arboritynchus","1","0.0","0.0","0.0","2","2.2335","0.1117","0.4988","0.6105","0.0","0.0","0.6105","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Arctidorylaimus","8","0.0","0.0","3.2","4","45.5171","1.1379","4.7558","5.8937","0.0","5.8937","0.0","0.0","0.0","5.8937","11.3368","0.2834","0.8966","1.18","0.0","1.18","0.0","0.0","0.0","1.18"
"Arganema","2","0.0","0.0","3.2","4","0.2393","0.006","0.0934","0.0994","0.0","0.0994","0.0","0.0994","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ascarophis","0","0.0","0.0","0.0","0","51.9811","0.0","5.285","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
